"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","CutOff","Gender","Age","Degree","University","Subject","GenAIUse","TypesOfAI[SQ001]","TypesOfAI[SQ002]","TypesOfAI[SQ003]","TypesOfAI[SQ004]","TypesOfAI[SQ005]","TypesOfAI[other]","AmoutUniAI","AIUniApplications[SQ001]","AIUniApplications[SQ002]","AIUniApplications[SQ003]","AIUniApplications[SQ004]","AIUniApplications[SQ005]","AIUniApplications[SQ006]","AIUniApplications[SQ007]","AIUniApplications[other]","AIFreq","AIOutcomes[SQ001]","AIOutcomes[SQ002]","AIOutcomes[SQ003]","AIOutcomes[SQ004]","AIOutcomes[SQ005]","AIOutcomes[SQ008]","AIOutcomes[SQ006]","AIOutcomes[SQ007]","RestrictionPolicy","RestrictionPolicy[other]","AIforStudAssess","EducatorsAIExp","EducatorsAIExp[other]","AIforMaterials","FearOfAI[SQ001]","FearOfAI[SQ002]","FearOfAI[SQ003]","FurtherAI[SQ001]","FurtherAI[SQ002]","FurtherAI[SQ003]","FurtherAI[SQ004]","ReaonsAgainstAI","Feedback"
"61","2024-01-17 17:00:20","6","de","760155825","2024-01-17 16:58:26","2024-01-17 17:00:20","Ja (Yes)","Weiblich (Female)","22","Bachelor (Bachelors Degree)","Universität Tübingen","Koreanistik, NF: Medienwissenschaft","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft eher nicht zu","teils teils","teils teils","trifft eher zu","",""
"62","2024-01-17 17:09:21","6","de","430970771","2024-01-17 17:06:04","2024-01-17 17:09:21","Ja (Yes)","Weiblich (Female)","28","Master (Masters Degree)","Universität Tübingen","Medienwissenschaft","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","80","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Weniger als einmal pro Monat (Less than once a month)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft eher zu (Agree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu","teils teils","teils teils","trifft eher zu","",""
"63","2024-01-17 17:17:22","6","de","871191261","2024-01-17 17:06:40","2024-01-17 17:17:22","Ja (Yes)","Männlich (Male)","25","Master (Masters Degree)","University of Tübingen","Machine Learning","Ja (Yes)","Ja","Ja","Ja","Nein","Nein","Stable Diffusion","60","Ja","Nein","Nein","Nein","Ja","Ja","Ja","","An den meisten Wochentagen (On most days of the week)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher zu","trifft eher zu","trifft eher nicht zu","teils teils","","There is a difference between using GPT-like models blindly, and then there is a way to use them as supporting tools. You can craft the inital draft, and then ChatGPT can work wonders on it by fixing your grammar, increasing flow etc. One problem I observe is that now, everyone looks like they have the same overly cautious overly kind way of ""writing"", which mostly stems from not being able to add your touch to model output. An experienced user can decide for themselves where to use their own voice and where to take help from AI.

Other than that, I found this aspect of the survey lacking: You have some questions about AI model development and guidelines, but you do not have any questions about guidelines on how to use AI. The current discussion, excluding some fame-seeking ignorant rhetoricans, is about if we should regulate AI research or if we should regulate AI applications. My opinion is that we should not regulate research (unless it is applied research in defense technologies or something similar of course), but rather we should focus on regulating the use of AI."
"64","2024-01-17 17:17:15","6","de","872519923","2024-01-17 17:11:40","2024-01-17 17:17:15","Ja (Yes)","Männlich (Male)","25","Master (Masters Degree)","Tubingen","Computational Neuroscience","Ja (Yes)","Ja","Nein","Nein","Ja","Nein","","50","Nein","Nein","Ja","Nein","Ja","Ja","Ja","","An einigen wenigen Wochentagen (On just a few days of the week)","trifft eher zu (Agree)","teils teils (Neutral)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Unentschlossen (Undecided)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu","trifft eher zu","trifft eher nicht zu","trifft eher zu","","The university board should consult the existing scientists in AI in Tuebingen and around before imposing any stupid policies within the university! They also should be educated, not only the professors. 

The AI is a new reality, we need to adapt, not ban."
"65","2024-01-17 17:18:45","6","de","243374766","2024-01-17 17:12:35","2024-01-17 17:18:45","Ja (Yes)","Weiblich (Female)","26","Master (Masters Degree)","Universität Tübingen","Empirische Kulturwissenschaft","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Sonstiges","zurzeit sind nicht unbedingt KI-Kentnisse in meinem Studiengang nötig","Ja (Yes)","teils teils (Neutral)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu","trifft eher nicht zu","trifft eher nicht zu","teils teils","Für meinen Studiengang finde ich es wichtig, selbst zu reflektieren und verschiedene Perspektive offen zu lassen, d.h. sie nicht durch KI im Voraus zu begrenzen.",""
"66","2024-01-17 17:18:46","6","de","1571124505","2024-01-17 17:16:18","2024-01-17 17:18:46","Ja (Yes)","Weiblich (Female)","19","Bachelor (Bachelors Degree)","Uni Tübingen ","Allgemeine Rhetorik ","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Restriktiver Umgang (KI zur Bearbeitung studentischer Aufgaben generell verbieten) / Restrictive handling (generally prohibit AI for processing student tasks)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu","trifft eher nicht zu","teils teils","teils teils","Ethik Von KI, Bringt mir wenig Lernerfolg",""
"67","","5","de","1974222319","2024-01-17 17:16:53","2024-01-17 17:18:00","Ja (Yes)","Männlich (Male)","24","Bachelor (Bachelors Degree)","Uni Tübingen","Anglistik / Computerlinguistik","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Nein (No)","","","","","","","","",""
"68","2024-01-17 17:20:20","6","de","185787741","2024-01-17 17:17:01","2024-01-17 17:20:20","Ja (Yes)","Männlich (Male)","20","Bachelor (Bachelors Degree)","tübingen","informatik","Ja (Yes)","Ja","Ja","Nein","Nein","Nein","github copilot","95%","Ja","Ja","Nein","Nein","Ja","Ja","Nein","","Täglich (Daily)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu","trifft voll zu","trifft eher nicht zu","trifft voll zu","",""
"69","2024-01-17 17:20:02","6","de","549633388","2024-01-17 17:17:42","2024-01-17 17:20:02","Ja (Yes)","Divers (Diverse)","22","Bachelor (Bachelors Degree)","Tübingen","Bioinformatik","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft voll zu","teils teils","teils teils","teils teils","Ich möchte dinge selber lernen und ich habe keinen lerngewinn wenn ich mir alles zufüttern lasse.
Bildgenerierungs-KI stehlen Bilder von Illustratoren ohne ihnen Credit oder Geld zu geben, das ist moralisch für mich nicht vertretbar.",""
"70","2024-01-17 17:51:01","6","de","1913874622","2024-01-17 17:33:20","2024-01-17 17:51:01","Ja (Yes)","Männlich (Male)","25","Master (Masters Degree)","Tubingen","Quantitative Data Science","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Ja (Yes)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft voll zu","trifft eher nicht zu","trifft eher zu","trifft voll zu","It sucks at applying logic and causal analysis, cannot check for the factual accuracy of claims and it makes summaries of pre-existing material with inconsistent quality. It would be like learning how to drive by playing a racing video game.","In regard to that survey, I would say that some of the survey questions are quite vague.
As for the topic of the survey, I think it's a topic that is too vast to be examined with a few questions, unless you want to treat Large Language Models, autonomous driving  vehicles (including potentially unmanned military vehicles), data compression models and other tools as the same thing."
"71","2024-01-17 17:38:44","6","de","703880506","2024-01-17 17:34:47","2024-01-17 17:38:44","Ja (Yes)","Weiblich (Female)","22","Bachelor (Bachelors Degree)","Universität Tübingen","International Business Administration ","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","60%","Nein","Ja","Nein","Nein","Ja","Ja","Nein","","Einige Male pro Monat (a couple times a month)","teils teils (Neutral)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu","teils teils","trifft eher zu","trifft eher zu","",""
"72","2024-01-17 17:44:08","6","de","602055701","2024-01-17 17:39:58","2024-01-17 17:44:08","Ja (Yes)","Männlich (Male)","25","Master (Masters Degree)","Uni Tübingen","Data Science ","Ja (Yes)","Ja","Nein","Nein","Nein","Ja","Claude 2","75","Ja","Ja","Ja","Nein","Ja","Ja","Nein","","Täglich (Daily)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","teils teils (Neutral)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Ja (Yes)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu","trifft voll zu","teils teils","trifft eher zu","",""
"73","2024-01-17 17:49:45","6","de","450284876","2024-01-17 17:44:46","2024-01-17 17:49:45","Ja (Yes)","Weiblich (Female)","37","Master (Masters Degree)","Tübingen","Berufliches Lehramt Sozialpädagogik und Englisch","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Ja (Yes)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu","trifft eher zu","trifft eher nicht zu","trifft eher zu","Arbeite gerne selbst.","KI kann nützlich sein und auch sinnvoll eingesetzt werden, wobei ich besorgt bin, was bspw. Umgang mit Stigmatisierung, Generalisierung, Rassismus, wissenschaftlichen Quellen, ethnischen Perspektiven angeht."
"74","2024-01-17 17:50:00","6","de","857425300","2024-01-17 17:45:50","2024-01-17 17:50:00","Ja (Yes)","Divers (Diverse)","25","Master (Masters Degree)","Universität Tübingen","Computational Linguistics","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft voll zu","trifft eher nicht zu","trifft eher zu","trifft eher zu","I don't trust AI answers to be accurate, and I find it more beneficial to think of / look for answers myself.",""
"75","2024-01-17 17:49:21","6","de","1005998269","2024-01-17 17:45:53","2024-01-17 17:49:21","Ja (Yes)","Männlich (Male)","20","Bachelor (Bachelors Degree)","Tübingen ","Kognitionswissenschaft","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","80","Nein","Nein","Nein","Nein","Ja","Ja","Nein","","An den meisten Wochentagen (On most days of the week)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Unentschlossen (Undecided)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils","teils teils","teils teils","trifft eher zu","",""
"76","2024-01-17 17:51:57","6","de","787243824","2024-01-17 17:47:45","2024-01-17 17:51:57","Ja (Yes)","Weiblich (Female)","24","Master (Masters Degree)","University of Tuebingen","Cellular and Molecular Neuroscience","Ja (Yes)","Ja","Ja","Nein","Nein","Nein","","20","Nein","Ja","Ja","Nein","Nein","Nein","Nein","","Einige Male pro Monat (a couple times a month)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft eher nicht zu (Disagree)","teils teils","teils teils","teils teils","trifft eher zu","",""
"77","2024-01-17 18:02:16","6","de","239616076","2024-01-17 17:57:43","2024-01-17 18:02:16","Ja (Yes)","Weiblich (Female)","23","Bachelor (Bachelors Degree)","Universität Tübingen","Kunstgeschichte und Informatik","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","75","Ja","Nein","Nein","Nein","Ja","Nein","Ja","","An einigen wenigen Wochentagen (On just a few days of the week)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu.","trifft eher zu","trifft eher nicht zu","trifft voll zu","",""
"78","2024-01-17 18:24:24","6","de","1657763034","2024-01-17 18:16:59","2024-01-17 18:24:24","Ja (Yes)","Weiblich (Female)","32","Master (Masters Degree)","University Tübingen","Cognitive Science","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","99","Nein","Nein","Ja","Nein","Nein","Ja","Ja","","Täglich (Daily)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Ja (Yes)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu","trifft voll zu","trifft eher nicht zu","trifft voll zu","",""
"79","2024-01-17 18:29:01","6","de","1228448557","2024-01-17 18:24:15","2024-01-17 18:29:01","Ja (Yes)","Weiblich (Female)","18","Bachelor (Bachelors Degree)","Universität Tübingen ","Mathematik/Informatik","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","60%","Ja","Nein","Nein","Nein","Ja","Ja","Nein","","An einigen wenigen Wochentagen (On just a few days of the week)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Unentschlossen (Undecided)","Dozenten in meinem Studiengang benötigen keine KI-Kenntnisse (Lecturers in my degree program do not need any AI knowledge)","","Nein (No)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils","teils teils","teils teils","trifft eher zu","",""
"80","2024-01-17 19:03:55","6","de","1710154938","2024-01-17 19:00:44","2024-01-17 19:03:55","Ja (Yes)","Weiblich (Female)","21","Bachelor (Bachelors Degree)","Universität Tübingen","Physik","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Nein (No)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft eher nicht zu (Disagree)","teils teils","trifft eher zu","trifft eher nicht zu","trifft voll zu","",""
"81","2024-01-17 19:11:23","6","de","1435771039","2024-01-17 19:06:54","2024-01-17 19:11:23","Ja (Yes)","Männlich (Male)","19","Bachelor (Bachelors Degree)","Universität Tübingen","Biologie","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","teils teils","trifft eher nicht zu","teils teils","trifft eher zu","Weil das meinem Arbeitsethos widersprechen würde. Zur Datenanalyse würde ich KI nutzen, aber nie um Texte oder Grafiken damit zu erstellen, die Unsicherheiten sind einfach zu groß.",""
"82","2024-01-17 19:20:55","6","de","1320021513","2024-01-17 19:13:26","2024-01-17 19:20:55","Ja (Yes)","Weiblich (Female)","37","Bachelor (Bachelors Degree)","Tübingen","Bio und politik auf bachelor of education","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu","trifft eher nicht zu","teils teils","trifft gar nicht zu.","Die funktion texte zusammenzufassen ist kostenpflichtig und sonst wüsste ich nicht wie das ding mir nützen könnte
Vielleicht irgendwann wenn quellen nicht mehr erfunden werden
Nebenbei verbietet die uni die nutzung","Ich finde das ganze KI thema massiv überschätzt, solange noch keine starke KI existiert interessiert es mich nicht wirklich"
"83","2024-01-17 19:17:06","6","de","80923599","2024-01-17 19:14:08","2024-01-17 19:17:06","Ja (Yes)","Weiblich (Female)","26","Other","Tübingen","Jura","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu","teils teils","teils teils","teils teils","",""
"84","2024-01-17 19:19:19","6","de","2059611487","2024-01-17 19:14:57","2024-01-17 19:19:19","Ja (Yes)","Weiblich (Female)","24","Master (Masters Degree)","Hochschule Harz","Konsumentenpsychologie und Marktforschung","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","85","Nein","Nein","Nein","Nein","Ja","Ja","Ja","Übungsfragen zum Lernen generieren","An einigen wenigen Wochentagen (On just a few days of the week)","trifft eher zu (Agree)","teils teils (Neutral)","teils teils (Neutral)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Ja (Yes)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils","trifft eher zu","trifft eher nicht zu","trifft eher zu","",""
"85","2024-01-17 19:20:24","6","de","1419329451","2024-01-17 19:15:10","2024-01-17 19:20:24","Ja (Yes)","Weiblich (Female)","21","Other","Eberhard Karls Universität Tübingen","Chemie","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","50%","Nein","Nein","Nein","Nein","Ja","Ja","Ja","","An den meisten Wochentagen (On most days of the week)","teils teils (Neutral)","teils teils (Neutral)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","teils teils (Neutral)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu","teils teils","teils teils","trifft voll zu","",""
"86","2024-01-17 19:29:52","6","de","1701674463","2024-01-17 19:21:59","2024-01-17 19:29:52","Ja (Yes)","Männlich (Male)","20","Bachelor (Bachelors Degree)","FH Münster","Betriebswirtschaftlehre","Ja (Yes)","Ja","Ja","Nein","Ja","Nein","","90","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","Täglich (Daily)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Nein (No)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher zu","trifft voll zu","trifft gar nicht zu.","teils teils","","Ich möchte meine aufrichtige Wertschätzung für die Durchführung der umfassenden Umfrage zum Thema Künstliche Intelligenz zum Ausdruck bringen. Die systematische Sammlung und Analyse von Daten in diesem Bereich trägt wesentlich zum Fortschritt und zur Erweiterung unseres kollektiven Verständnisses bei. Ihre Bemühungen tragen dazu bei, die Diskussionen und Forschungen in diesem dynamischen und sich ständig weiterentwickelnden Feld zu bereichern. Vielen Dank! 🙏(GPT 4.0)"
"87","","2","de","1508942547","2024-01-17 19:37:26","2024-01-17 19:38:29","Ja (Yes)","Männlich (Male)","19","Bachelor (Bachelors Degree)","FH Münster","Informatik","","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","","2","de","984219024","2024-01-17 19:38:20","2024-01-17 19:39:30","Ja (Yes)","Männlich (Male)","23","Master (Masters Degree)","Universität Münster ","Lehramt für Gymnasien/Gesamtschulen (Mathematik/Sozialwissenschaften)","","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
